message;severity;node;stamp;topics;location
"node[/waypoint_loader, http://udacity:43161/] entering spin(), pid[3538]";"1";"/waypoint_loader";"1536981837.156012058";"/base_waypoints,/rosout";"client.py:spin:126"
"node[/waypoint_loader, http://udacity:43161/] entering spin(), pid[3538]";"1";"/waypoint_loader";"1536981837.156012058";"/base_waypoints,/rosout";"client.py:spin:126"
"lateral accel = -1.058220";"2";"/pure_pursuit";"1536981871.444538435";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:TwistStamped waypoint_follower::PurePursuit::outputTwist:339"
"kappa :-0.332945";"2";"/pure_pursuit";"1536981871.444527299";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcCurvature:100"
"search waypoint is the last";"2";"/pure_pursuit";"1536981871.444515646";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::getNextWaypoint:291"
"lookahead distance: 6.000000";"2";"/pure_pursuit";"1536981871.444497563";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcLookaheadDistance:80"
"lateral accel = -1.063572";"2";"/pure_pursuit";"1536981871.411180548";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:TwistStamped waypoint_follower::PurePursuit::outputTwist:339"
"lateral accel = -1.058220";"2";"/pure_pursuit";"1536981871.444538435";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:TwistStamped waypoint_follower::PurePursuit::outputTwist:339"
"kappa :-0.332945";"2";"/pure_pursuit";"1536981871.444527299";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcCurvature:100"
"search waypoint is the last";"2";"/pure_pursuit";"1536981871.444515646";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::getNextWaypoint:291"
"lookahead distance: 6.000000";"2";"/pure_pursuit";"1536981871.444497563";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcLookaheadDistance:80"
"lateral accel = -1.063572";"2";"/pure_pursuit";"1536981871.411180548";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:TwistStamped waypoint_follower::PurePursuit::outputTwist:339"
